codigo,valor,populacao,tipoRGF
1504455,52.31,31213,Completo
1504505,65.43,27415,Completo
1504604,78.47,30736,Completo
1504703,65.8,80988,Completo
1504752,59.92,15982,Completo
1504802,69.37,57900,Completo
1504950,66.46,21291,Completo
1504976,49.25,16499,Completo
1505007,52.78,15218,Completo
1505031,59.44,25758,Completo
1505064,56.23,74602,Completo
1505106,71.37,51964,Completo
1505304,41.63,72160,Completo
1505403,38.33,17721,Completo
1505437,42.03,32319,Completo
1505486,54.0,46986,Completo
1505502,48.59,111764,Completo
1505536,34.32,202882,Completo
1505551,53.21,5557,Completo
1505601,46.38,8073,Completo
1505635,54.91,12983,Completo
1505650,49.39,30293,Completo
1505700,59.04,30608,Completo
1505908,57.79,40458,Completo
1506005,63.78,29886,Completo
1506104,60.12,10792,Completo
1506112,52.52,13512,Completo
1506138,54.51,83997,Completo
1506161,53.32,18186,Completo
1506187,62.94,51903,Completo
1506195,53.52,49503,Completo
1506203,63.88,40424,Completo
1506351,54.0,20704,Completo
1506401,48.0,9939,Completo
1506500,52.84,69746,Completo
1506559,60.17,19852,Completo
1506583,49.19,21042,Completo
1506609,47.98,24725,Completo
1506708,44.07,71187,Completo
1506807,53.46,302667,Completo
1507003,67.9,31038,Completo
1507102,53.0,17970,Completo
1507300,49.2,124763,Completo
1507409,56.03,15833,Completo
1507466,46.49,6059,Completo
1507474,70.14,22842,Completo
1507607,55.83,58328,Completo
1507706,63.24,26301,Completo
1507755,56.14,5849,Completo
1507805,53.93,11839,Completo
1507904,63.77,25181,Completo
1507961,51.82,11591,Completo
1507979,51.02,18619,Completo
1508001,62.66,62854,Completo
1508035,69.8,30656,Completo
1508050,52.94,18807,Completo
1508084,44.63,39059,Completo
1508126,54.74,57632,Completo
1508159,54.0,45517,Completo
1508209,51.53,53191,Completo
1508308,56.93,61049,Completo
1508407,58.92,44410,Completo
1600105,69.71,9029,Completo
1600154,43.98,15931,Completo
1600238,54.47,7591,Completo
1600253,56.11,5387,Completo
1600279,73.18,49446,Completo
1600303,52.42,493634,Completo
1600402,59.91,21206,Completo
1600501,58.06,26627,Completo
1600535,65.79,21484,Completo
1600600,69.14,119610,Completo
1600709,65.04,16855,Completo
1700251,45.65,2564,Simplificado
1700301,48.73,6572,Simplificado
1700400,45.9,7131,Simplificado
1700707,37.39,8427,Simplificado
1701002,53.85,9607,Completo
1701051,43.38,3417,Simplificado
1701101,50.76,4741,Completo
1701309,47.13,5786,Simplificado
1701903,55.66,7016,Completo
1702000,51.7,8567,Simplificado
1702109,45.34,177517,Completo
1702158,55.03,5663,Completo
1702208,3309.95,35346,Completo
1702307,44.98,6670,Completo
1702406,56.35,10601,Completo
1702554,56.1,18178,Simplificado
1702703,52.92,3731,Completo
1702901,61.7,9725,Completo
1703008,42.65,10662,Simplificado
1703057,46.08,3512,Completo
1703073,46.9,4549,Completo
1703107,56.7,5614,Completo
1703206,45.21,4469,Simplificado
1703305,51.32,4779,Completo
1703602,51.83,2191,Simplificado
1703701,45.61,5475,Completo
1703800,50.26,11197,Completo
1703826,46.68,2266,Simplificado
1703842,49.93,9917,Completo
1703867,45.44,4321,Simplificado
1703883,55.3,2556,Completo
1703891,48.82,4059,Simplificado
1703909,52.9,5295,Completo
1704105,43.25,2874,Simplificado
1704600,54.0,1401,Simplificado
1705102,42.78,3334,Simplificado
1705508,49.43,34990,Completo
1705557,47.43,4843,Completo
1705607,49.21,4124,Simplificado
1706001,46.7,5536,Simplificado
1706100,43.32,7300,Completo
1706258,47.53,1708,Simplificado
1706506,50.13,6018,Completo
1707009,54.65,21850,Completo
1707108,50.59,6856,Completo
1707207,54.0,7211,Simplificado
1707405,44.0,10851,Simplificado
1707553,46.61,3841,Simplificado
1707652,54.0,5284,Simplificado
1708205,56.42,18482,Completo
1708254,44.82,2576,Simplificado
1708304,36.8,5116,Completo
1709005,51.95,12942,Completo
1709302,53.27,25677,Simplificado
1709500,52.52,85737,Completo
1710508,56.88,7414,Completo
1710706,59.1,5896,Completo
1710904,45.07,3758,Completo
1711100,40.01,2435,Simplificado
1711803,49.57,2202,Completo
1711902,53.46,13034,Completo
1711951,47.82,4237,Simplificado
1712009,52.0,3101,Simplificado
1712157,40.26,1892,Simplificado
1712405,45.17,3748,Completo
1712454,47.9,3060,Simplificado
1712504,54.0,5094,Simplificado
1712702,45.51,2638,Completo
1712801,45.14,3403,Simplificado
1713205,49.83,18566,Completo
1713304,51.76,13375,Simplificado
1713601,46.75,7827,Simplificado
1713700,54.0,2263,Simplificado
1713809,45.05,6570,Completo
1713957,41.9,3514,Completo
1714203,47.47,9239,Completo
1714302,50.02,3959,Simplificado
1714880,51.01,11719,Simplificado
1715002,54.0,4215,Simplificado
1715101,44.72,4287,Simplificado
1715150,41.54,2332,Completo
1715259,48.34,2698,Completo
1715507,34.76,1106,Completo
1715705,48.09,5919,Simplificado
1715754,52.58,7641,Simplificado
1716109,51.52,50602,Completo
1716208,45.06,10461,Simplificado
1716307,48.95,4831,Simplificado
1716604,46.75,11623,Simplificado
1716653,48.12,5443,Completo
1716703,47.73,8270,Completo
1717008,52.44,4464,Simplificado
1717503,51.46,7564,Completo
1717800,38.94,4601,Completo
1717909,54.75,7961,Simplificado
1718006,45.11,3108,Completo
1718204,52.42,52700,Completo
1718303,56.11,8365,Completo
1718402,54.0,3692,Simplificado
1718451,53.49,2659,Completo
1718501,50.65,4244,Completo
1718550,56.78,4604,Simplificado
1718659,51.1,2088,Simplificado
1718709,48.0,2811,Simplificado
1718758,53.85,6468,Completo
1718808,39.01,4627,Simplificado
1718840,42.89,3378,Simplificado
1718865,52.01,7426,Completo
1718881,49.18,3381,Completo
1718899,44.3,2344,Simplificado
1718907,43.34,4811,Simplificado
1719004,44.69,2834,Simplificado
1720002,54.0,2528,Completo
1720101,44.4,5256,Simplificado
1720150,8454.97,1572,Completo
1720200,55.83,11967,Completo
1720309,46.44,4757,Simplificado
1720499,49.79,4017,Simplificado
1720655,44.57,5378,Completo
1720804,50.97,9078,Completo
1720853,54.0,1946,Simplificado
1720903,53.92,16538,Completo
1720937,60.39,2131,Completo
1721000,47.94,291855,Completo
1721109,48.89,7471,Simplificado
1721208,46.92,22896,Simplificado
1721257,44.95,1860,Completo
1721307,47.89,2613,Simplificado
1722081,43.29,11631,Simplificado
1722107,52.28,11561,Simplificado
2100055,57.03,111757,Completo
2100105,50.59,6469,Completo
2100204,50.59,22083,Simplificado
2100303,52.48,26302,Simplificado
2100402,53.24,8066,Completo
2100436,50.84,26839,Simplificado
2100477,50.53,31894,Simplificado
2100501,51.69,11168,Completo
2100550,52.69,6918,Simplificado
2100600,53.67,41136,Simplificado
2100709,53.89,26614,Simplificado
2100808,61.89,15566,Simplificado
2100832,52.29,17063,Completo
2100873,53.28,15297,Simplificado
2100907,64.4,46103,Completo
2100956,53.04,32637,Completo
2101004,53.67,29764,Completo
2101103,49.8,12076,Completo
2101202,57.18,104633,Completo
2101251,44.02,16855,Simplificado
2101301,51.91,18508,Simplificado
2101350,50.17,5617,Simplificado
2101400,65.29,93826,Completo
2101509,46.15,18714,Simplificado
2101608,53.43,87794,Completo
2101707,52.48,61828,Completo
2101731,52.19,7409,Simplificado
2101772,53.81,11138,Simplificado
2101806,48.91,5627,Simplificado
2101905,44.36,21260,Completo
2101939,45.98,6011,Completo
2101970,53.31,9158,Simplificado
2102002,53.64,41435,Simplificado
2102036,61.63,33479,Completo
2102077,51.52,16148,Simplificado
2102101,53.57,36139,Completo
2102150,51.28,9367,Simplificado
2102200,53.54,28557,Simplificado
